Track ID,From Track,Signal Name,Direction,Station ID,Next Station,Distance to Station,Length,Trip Count,Trip Total,Percent,Is Revenue,Line
TQUN137T,TQUN141T,S137**,2,QUN,QUN2,34.4424,34.4424,14557.248,30171.1944,0.48248829,1,1
TQUN135T,TQUN137T,S135,2,QUN,QUN2,0,167.9448,14591.6904,30171.1944,0.483629856,1,1
TQUN131T,TQUN135T,S131,2,KNG,KNG2,308.1528,96.6216,14759.6352,30171.1944,0.489196251,1,1
TKNG127T,TQUN131T,S127,2,KNG,KNG2,211.5312,117.348,14856.2568,30171.1944,0.492398697,1,1
TKNG123T,TKNG127T,S123,2,KNG,KNG2,94.1832,94.1832,14973.6048,30171.1944,0.496288102,1,1
TKNG121T,TKNG123T,S121,2,KNG,KNG2,0,165.2016,15067.788,30171.1944,0.499409728,1,1
TKNG115T,TKNG121T,S115(X66),2,UNI,UNI2,298.0944,119.7864,15232.9896,30171.1944,0.504885203,1,1
TKNG111T,TKNG115T,S111(X64),2,UNI,UNI2,178.308,89.3064,15352.776,30171.1944,0.508855427,1,1
TUNI109TF,TKNG111T,S109(X62),2,UNI,UNI2,89.0016,89.0016,15442.0824,30171.1944,0.511815416,1,1
TUNI105T,TUNI109TF,S105(X56),2,UNI,UNI2,0,144.78,15531.084,30171.1944,0.514765302,1,1
TUNI101TB,TUNI105T,S101(X48),2,STA,STA2,362.712,21.336,15675.864,30171.1944,0.519563919,1,1
TUNI100T,TUNI101TB,U100GT,2,STA,STA2,341.376,105.2322,15697.2,30171.1944,0.520271083,1,1
TSTA96T,TUNI100T,U96GT(X38),2,STA,STA2,236.1438,115.443,15802.4322,30171.1944,0.52375892,1,1
TSTA92TA,TSTA96T,U92GT(X30),2,STA,STA2,120.7008,120.7008,15917.8752,30171.1944,0.527585186,1,1
TSTA88T,TSTA92TA,U88GT,2,STA,STA2,0,151.4856,16038.576,30171.1944,0.531585717,1,1
TSTA84T,TSTA88T,U84(X14),2,OSG,OSG2,237.744,130.1496,16190.0616,30171.1944,0.536606585,1,1
TOSG80TA,TSTA84T,U80(X12),2,OSG,OSG2,107.5944,107.5944,16320.2112,30171.1944,0.540920289,1,1
TOSG76T,TOSG80TA,U76,2,OSG,OSG2,0,156.972,16427.8056,30171.1944,0.544486419,1,1
TOSG70T,TOSG76T,U70,2,STP,STP2,269.4432,152.7048,16584.7776,30171.1944,0.54968913,1,1
TSTP66T,TOSG70T,U66,2,STP,STP2,116.7384,116.7384,16737.4824,30171.1944,0.554750408,1,1
TSTP62T,TSTP66T,U62,2,STP,STP2,0,158.496,16854.2208,30171.1944,0.558619608,1,1
TSTP56T,TSTP62T,U56,2,QPK,QPK2,479.1456,182.5752,17012.7168,30171.1944,0.563872831,1,1
TSTP50T,TSTP56T,U50,2,QPK,QPK2,296.5704,158.496,17195.292,30171.1944,0.569924139,1,1
TQPK46T,TSTP50T,U46,2,QPK,QPK2,138.0744,138.0744,17353.788,30171.1944,0.575177362,1,1
TQPK40T,TQPK46T,U40,2,QPK,QPK2,0,163.068,17491.8624,30171.1944,0.579753727,1,1
TQPK36T,TQPK40T,U36,2,MUS,MUS2,544.068,197.8152,17654.9304,30171.1944,0.585158485,1,1
TQPK28T,TQPK36T,U28,2,MUS,MUS2,346.2528,115.824,17852.7456,30171.1944,0.591714911,1,1
TQPK26T,TQPK28T,U26,2,MUS,MUS2,230.4288,116.1288,17968.5696,30171.1944,0.595553804,1,1
TMUS22T,TQPK26T,U22,2,MUS,MUS2,114.3,114.3,18084.6984,30171.1944,0.5994028,1,1
TMUS18T,TMUS22T,U18(X38),2,MUS,MUS2,0,157.5816,18198.9984,30171.1944,0.603191182,1,1
TMUSY12T,TMUS18T,Y12(X36),2,SGU,SGU2,488.442,90.8304,18356.58,30171.1944,0.608414097,1,1
TMUSY8TB,TMUSY12T,Y8(X30),2,SGU,SGU2,397.6116,72.2376,18447.4104,30171.1944,0.611424598,1,1
TSGUY7T,TMUSY8TB,Y7*,2,SGU,SGU2,325.374,12.13104,18519.648,30171.1944,0.613818855,1,1
TSGUY6T,TSGUY7T,Y6GTST(X20),2,SGU,SGU2,313.24296,115.88496,18531.77904,30171.1944,0.614220929,1,1
TSGUY4T,TSGUY6T,Y4GTST(X18),2,SGU,SGU2,197.358,44.196,18647.664,30171.1944,0.618061842,1,1
TSGUY2TE,TSGUY4T,Y2GTST(X16),2,SGU,SGU2,153.162,153.162,18691.86,30171.1944,0.619526683,1,1
TSGU98T,TSGUY2TE,Y470GT(X98),2,SGU,SGU2,0,152.7048,18845.022,30171.1944,0.624603115,1,1
TSGU94TB,TSGU98T,Y466(X94),2,SPA,SPA2,492.8616,153.6192,18997.7268,30171.1944,0.629664393,1,1
TSGU116T,TSGU94TB,SP2GT(X116),2,SPA,SPA2,339.2424,147.2184,19151.346,30171.1944,0.634755978,1,1
TSPA114T,TSGU116T,SP6GT(X114),2,SPA,SPA2,192.024,109.728,19298.5644,30171.1944,0.639635413,1,1
TSPA130T,TSPA114T,SP8GT(X130),2,SPA,SPA2,82.296,82.296,19408.2924,30171.1944,0.64327226,1,1
TSPA88T,TSPA130T,SP12GT(X88),2,SPA,SPA2,0,161.544,19490.5884,30171.1944,0.645999895,1,1
TSPA62TE,TSPA88T,SP16(X62),2,DUP,DUP2,401.1168,95.4024,19652.1324,30171.1944,0.651354141,1,1
TSPA8T,TSPA62TE,SPA21(X8),2,DUP,DUP2,305.7144,32.6136,19747.5348,30171.1944,0.654516177,1,1
TSPA22T,TSPA8T,SP22,2,DUP,DUP2,273.1008,67.056,19780.1484,30171.1944,0.655597128,1,1
TSPA24T,TSPA22T,SP24*,2,DUP,DUP2,206.0448,54.864,19847.2044,30171.1944,0.657819645,1,1
TDUP26T,TSPA24T,SP26,2,DUP,DUP2,151.1808,151.1808,19902.0684,30171.1944,0.659638069,1,1
TDUP30T,TDUP26T,SP30,2,DUP,DUP2,0,160.6296,20053.2492,30171.1944,0.664648835,1,1
TDUP36T,TDUP30T,SP36,2,SCW,SCW2,1279.5504,90.5256,20213.8788,30171.1944,0.669972774,1,1
TDUP38T,TDUP36T,SP38*,2,SCW,SCW2,1189.0248,124.968,20304.4044,30171.1944,0.672973172,1,1
TDUP42T,TDUP38T,SP42,2,SCW,SCW2,1064.0568,118.872,20429.3724,30171.1944,0.677115136,1,1
TDUP46T,TDUP42T,SP46*,2,SCW,SCW2,945.1848,152.4,20548.2444,30171.1944,0.681055053,1,1
TDUP52T,TDUP46T,SP52,2,SCW,SCW2,792.7848,274.32,20700.6444,30171.1944,0.686106229,1,1
TSCW60T,TDUP52T,SP60,2,SCW,SCW2,518.4648,206.44104,20974.9644,30171.1944,0.695198345,1,1
TSCW66T,TSCW60T,SP66,2,SCW,SCW2,312.02376,189.79896,21181.40544,30171.1944,0.702040667,1,1
TSCW72T,TSCW66T,SP72,2,SCW,SCW2,122.2248,122.2248,21371.2044,30171.1944,0.708331401,1,1
TSCW2T,TSCW72T,SP78GT(X2),2,SCW,SCW2,0,164.7444,21493.4292,30171.1944,0.712382444,1,1
TSCW4TB,TSCW2T,SP82(X4),2,EGW,EGW2,2461.4124,48.3108,21658.1736,30171.1944,0.717842765,1,1
TSCW84T,TSCW4TB,SP84*,2,EGW,EGW2,2413.1016,161.544,21706.4844,30171.1944,0.719443987,1,1
TSCW6TA,TSCW84T,SP90GT(X6),2,EGW,EGW2,2251.5576,101.4984,21868.0284,30171.1944,0.724798233,1,1
TSCW30T,TSCW6TA,SPA93(X38),2,EGW,EGW2,2150.0592,114.9096,21969.5268,30171.1944,0.728162316,1,1
TSCW96T,TSCW30T,SP96GT,2,EGW,EGW2,2035.1496,262.128,22084.4364,30171.1944,0.731970903,1,1
TSCW106T,TSCW96T,SP106GT,2,EGW,EGW2,1773.0216,255.4224,22346.5644,30171.1944,0.740658925,1,1
TSCW114T,TSCW106T,SP114,2,EGW,EGW2,1517.5992,262.7376,22601.9868,30171.1944,0.749124695,1,1
TEGW122T,TSCW114T,SP122,2,EGW,EGW2,1254.8616,243.84,22864.7244,30171.1944,0.757832922,1,1
TEGW130T,TEGW122T,SP130,2,EGW,EGW2,1011.0216,243.84,23108.5644,30171.1944,0.765914802,1,1
TEGW138T,TEGW130T,SP138,2,EGW,EGW2,767.1816,243.84,23352.4044,30171.1944,0.773996683,1,1
TEGW146T,TEGW138T,SP146,2,EGW,EGW2,523.3416,195.072,23596.2444,30171.1944,0.782078564,1,1
TEGW152T,TEGW146T,SP152GT,2,EGW,EGW2,328.2696,175.8696,23791.3164,30171.1944,0.788544069,1,1
TEGW158T,TEGW152T,SP158GT,2,EGW,EGW2,152.4,152.4,23967.186,30171.1944,0.794373126,1,1
TEGW164T,TEGW158T,SP164,2,EGW,EGW2,0,158.496,24119.586,30171.1944,0.799424301,1,1
TEGW168T,TEGW164T,SP168,2,GCN,GCN2,844.9056,189.8904,24278.082,30171.1944,0.804677524,1,1
TEGW174T,TEGW168T,SP174,2,GCN,GCN2,655.0152,170.688,24467.9724,30171.1944,0.810971289,1,1
TGCN180T,TEGW174T,SP180,2,GCN,GCN2,484.3272,195.072,24638.6604,30171.1944,0.816628605,1,1
TGCN186T,TGCN180T,SP186,2,GCN,GCN2,289.2552,152.4,24833.7324,30171.1944,0.82309411,1,1
TGCN192T,TGCN186T,SP192GT,2,GCN,GCN2,136.8552,136.8552,24986.1324,30171.1944,0.828145285,1,1
TGCN196T,TGCN192T,SP196,2,GCN,GCN2,0,156.3624,25122.9876,30171.1944,0.832681241,1,1
TGCN2T,TGCN196T,SP202(X2),2,LWW,LWW2,598.932,142.6464,25279.35,30171.1944,0.837863747,1,1
TLWW4T,TGCN2T,SP206(X4),2,LWW,LWW2,456.2856,135.9408,25421.9964,30171.1944,0.842591648,1,1
TLWW6TB,TLWW4T,SP210(X6),2,LWW,LWW2,320.3448,49.9872,25557.9372,30171.1944,0.847097296,1,1
TLWW212T,TLWW6TB,SP212*,2,LWW,LWW2,270.3576,153.924,25607.9244,30171.1944,0.848754082,1,1
TLWW18TA,TLWW212T,SP216(X18),2,LWW,LWW2,116.4336,116.4336,25761.8484,30171.1944,0.853855769,1,1
TLWW220T,TLWW18TA,SP220GT,2,LWW,LWW2,0,163.9824,25878.282,30171.1944,0.857714867,1,1
TLWW226T,TLWW220T,SP226,2,YKD,YKD2,956.4624,114.3,26042.2644,30171.1944,0.863149932,1,1
TLWW230T,TLWW226T,SP230*,2,YKD,YKD2,842.1624,146.304,26156.5644,30171.1944,0.866938314,1,1
TLWW234T,TLWW230T,SP234,2,YKD,YKD2,695.8584,188.976,26302.8684,30171.1944,0.871787442,1,1
TYKD242T,TLWW234T,SP242,2,YKD,YKD2,506.8824,225.552,26491.8444,30171.1944,0.8780509,1,1
TYKD248T,TYKD242T,SP248,2,YKD,YKD2,281.3304,132.588,26717.3964,30171.1944,0.88552664,1,1
TYKD254T,TYKD248T,SP254,2,YKD,YKD2,148.7424,148.7424,26849.9844,30171.1944,0.889921163,1,1
TYKD258T,TYKD254T,SP258,2,YKD,YKD2,0,154.5336,26998.7268,30171.1944,0.89485111,1,1
TYKD40T,TYKD258T,SP262(X40),2,WIL,WIL2,952.8048,143.256,27153.2604,30171.1944,0.899973002,1,1
TYKD268T,TYKD40T,SP268,2,WIL,WIL2,809.5488,140.208,27296.5164,30171.1944,0.904721107,1,1
TWIL272T,TYKD268T,SP272,2,WIL,WIL2,669.3408,231.648,27436.7244,30171.1944,0.909368189,1,1
TWIL22T,TWIL272T,SP280GTST(X22),2,WIL,WIL2,437.6928,134.112,27668.3724,30171.1944,0.917045975,1,1
TWIL20T,TWIL22T,SP284GTST(X20),2,WIL,WIL2,303.5808,79.248,27802.4844,30171.1944,0.92149101,1,1
TWIL18T,TWIL20T,SP286GTST(X18),2,WIL,WIL2,224.3328,67.056,27881.7324,30171.1944,0.924117621,1,1
TWIL16TE,TWIL18T,SP288GTST(X16),2,WIL,WIL2,157.2768,157.2768,27948.7884,30171.1944,0.926340139,1,1
TWIL4T,TWIL16TE,SP294GT,2,WIL,WIL2,0,123.1392,28106.0652,30171.1944,0.931552952,1,1
TWIL4AT,TWIL4T,SP298X8,2,SHW,SHW2,1941.99,31.930848,28229.2044,30171.1944,0.935634302,1,1
TWIL46T,TWIL4AT,SPA299GT(X4),2,SHW,SHW2,1910.059152,153.997152,28261.13525,30171.1944,0.936692624,1,1
TWIL50T,TWIL46T,SPA304GT(X50),2,SHW,SHW2,1756.062,118.872,28415.1324,30171.1944,0.941796736,1,1
TWYD92BTB,TWIL50T,SP308,2,SHW,SHW2,1637.19,8.29,28534.0044,30171.1944,0.945736653,1,1
TWYD64T,TWYD92BTB,SP309,2,SHW,SHW2,1628.9,220.6,28542.2944,30171.1944,0.946011418,1,1
TWYD68T,TWYD64T,SP314,2,SHW,SHW2,1408.3,239.03,28762.8944,30171.1944,0.953323028,1,1
TWYD76TA,TWYD68T,SP322,2,SHW,SHW2,1169.27,238.92,29001.9244,30171.1944,0.961245485,1,1
TWYD330T,TWYD76TA,SP330GT,2,SHW,SHW2,930.35,290.13,29240.8444,30171.1944,0.969164297,1,1
TWYD340T,TWYD330T,SP340GT,2,SHW,SHW2,640.22,185.4,29530.9744,30171.1944,0.978780422,1,1
TDWN22T,TWYD340T,SP346GTST(X22),2,SHW,SHW2,454.82,136.83,29716.3744,30171.1944,0.984925356,1,1
TDWN20T,TDWN22T,SP352GTST(X20),2,SHW,SHW2,317.99,77.52,29853.2044,30171.1944,0.989460477,1,1
TDWN18T,TDWN20T,SP354GTST(X18),2,SHW,SHW2,240.47,80.38,29930.7244,30171.1944,0.992029815,1,1
TDWN16TE,TDWN18T,SP356GTST(X16),2,SHW,SHW2,160.09,160.09,30011.1044,30171.1944,0.994693946,1,1
TDWN4T,TDWN16TE,SP362GTST(X4),2,SHW,SHW2,0,162.9,30171.1944,30171.1944,1,1,1
TDWN2T,TDWN32T,SPA366(X32),1,SHW,SHW1,0,165.95,0,30141.0968,0,1,1
TDWN10TA,TDWN2T,SPA361(X10),1,WIL,WIL1,1885.309152,164.12,165.95,30141.0968,0.005505772,1,1
TDWN14AT,TDWN10TA,SPA356(X14),1,WIL,WIL1,1721.189152,24.02,330.07,30141.0968,0.010950829,1,1
TDWN355T,TDWN14AT,SP355,1,WIL,WIL1,1697.169152,192.27,354.09,30141.0968,0.011747748,1,1
TWYD349T,TDWN355T,SP349,1,WIL,WIL1,1504.899152,208.87,546.36,30141.0968,0.018126746,1,1
TWYD178T,TWYD349T,SP341GT(X178),1,WIL,WIL1,1296.029152,264.83,755.23,30141.0968,0.025056487,1,1
TWYD176TE,TWYD178T,SP333(X176),1,WIL,WIL1,1031.199152,284.12,1020.06,30141.0968,0.03384283,1,1
TWYD82AT,TWYD176TE,SP323(X82),1,WIL,WIL1,747.079152,295.17,1304.18,30141.0968,0.043269162,1,1
TWYD66T,TWYD82AT,SP315,1,WIL,WIL1,451.909152,71.15,1599.35,30141.0968,0.053062104,1,1
TWYD95BTA,TWYD66T,SP311*,1,WIL,WIL1,380.759152,50,1670.5,30141.0968,0.055422668,1,1
TDWY92ATB,TWYD95BTA,SP310*,1,WIL,WIL1,330.759152,51.95,1720.5,30141.0968,0.057081533,1,1
TWYD91BTA,TDWY92ATB,SP309(X84),1,WIL,WIL1,278.809152,5.94,1772.45,30141.0968,0.058805093,1,1
TWIL48T,TWYD91BTA,SP308(X54),1,WIL,WIL1,272.869152,118.872,1778.39,30141.0968,0.059002166,1,1
TWIL44T,TWIL48T,SP305GT(X44),1,WIL,WIL1,153.997152,94.488,1897.262,30141.0968,0.062946017,1,1
